neighborhood,count
Allerton,92
Arden Heights,9
Arrochar,49
Arverne,217
Astoria,1824
Bath Beach,46
Battery Park City,116
Bay Ridge,292
Bay Terrace,8
"Bay Terrace, Staten Island",4
Baychester,27
Bayside,120
Bayswater,38
Bedford-Stuyvesant,7739
Belle Harbor,30
Bellerose,26
Belmont,44
Bensonhurst,155
Bergen Beach,30
Boerum Hill,348
Borough Park,262
Breezy Point,9
Briarwood,119
Brighton Beach,167
Bronxdale,45
Brooklyn Heights,299
Brownsville,150
Bull's Head,12
Bushwick,4845
Cambria Heights,75
Canarsie,396
Carroll Gardens,467
Castle Hill,16
Castleton Corners,13
Chelsea,2196
"Chelsea, Staten Island",1
Chinatown,769
City Island,41
Civic Center,105
Claremont Village,57
Clason Point,48
Clifton,39
Clinton Hill,1106
Co-op City,5
Cobble Hill,195
College Point,48
Columbia St,87
Concord,59
Concourse,121
Concourse Village,74
Coney Island,50
Corona,158
Crown Heights,3179
Cypress Hills,327
DUMBO,70
Ditmars Steinway,676
Dongan Hills,13
Douglaston,21
Downtown Brooklyn,174
Dyker Heights,25
East Elmhurst,476
East Flatbush,1178
East Harlem,2254
East Morrisania,20
East New York,594
East Village,3376
Eastchester,28
Edenwald,33
Edgemere,31
Elmhurst,518
Eltingville,6
Emerson Hill,10
Far Rockaway,77
Fieldston,25
Financial District,1457
Flatbush,1258
Flatiron District,155
Flatlands,214
Flushing,966
Fordham,147
Forest Hills,297
Fort Greene,921
Fort Hamilton,119
Fort Wadsworth,2
Fresh Meadows,96
Gerritsen Beach,3
Glen Oaks,2
Glendale,135
Gowanus,487
Gramercy,678
Graniteville,7
Grant City,22
Gravesend,135
Great Kills,24
Greenpoint,2079
Greenwich Village,723
Grymes Hill,16
Harlem,5293
Hell's Kitchen,3885
Highbridge,67
Hollis,43
Holliswood,9
Howard Beach,50
Howland Hook,6
Huguenot,9
Hunts Point,51
Inwood,533
Jackson Heights,437
Jamaica,600
Jamaica Estates,48
Jamaica Hills,21
Kensington,363
Kew Gardens,83
Kew Gardens Hills,65
Kingsbridge,161
Kips Bay,892
Laurelton,64
Lighthouse Hill,3
Little Italy,273
Little Neck,8
Long Island City,1113
Longwood,131
Lower East Side,1881
Manhattan Beach,22
Marble Hill,26
Mariners Harbor,25
Maspeth,250
Melrose,23
Middle Village,65
Midland Beach,17
Midtown,3303
Midwood,228
Mill Basin,14
Morningside Heights,615
Morris Heights,46
Morris Park,45
Morrisania,41
Mott Haven,143
Mount Eden,18
Mount Hope,54
Murray Hill,943
Navy Yard,31
Neponsit,7
New Brighton,15
New Dorp,4
New Dorp Beach,11
New Springville,18
NoHo,133
Nolita,509
North Riverdale,27
Norwood,75
Oakwood,14
Olinville,22
Ozone Park,147
Park Slope,979
Parkchester,97
Pelham Bay,41
Pelham Gardens,72
Port Morris,99
Port Richmond,24
Prince's Bay,8
Prospect Heights,682
Prospect-Lefferts Gardens,1133
Queens Village,144
Randall Manor,44
Red Hook,176
Rego Park,230
Richmond Hill,214
Richmondtown,5
Ridgewood,887
Riverdale,19
Rockaway Beach,183
Roosevelt Island,155
Rosebank,14
Rosedale,165
Rossville,3
Schuylerville,47
Sea Gate,20
Sheepshead Bay,359
Shore Acres,20
Silver Lake,9
SoHo,669
Soundview,33
South Beach,16
South Ozone Park,127
South Slope,558
Springfield Gardens,244
Spuyten Duyvil,8
St. Albans,212
St. George,123
Stapleton,63
Stuyvesant Town,80
Sunnyside,771
Sunset Park,839
Theater District,559
Throgs Neck,56
Todt Hill,7
Tompkinsville,105
Tottenville,13
Tremont,29
Tribeca,338
Two Bridges,128
Unionport,21
University Heights,54
Upper East Side,3585
Upper West Side,3773
Van Nest,25
Vinegar Hill,70
Wakefield,154
Washington Heights,1739
West Brighton,57
West Farms,6
West Village,1448
Westchester Square,23
Westerleigh,5
Whitestone,26
Williamsbridge,93
Williamsburg,7554
Willowbrook,3
Windsor Terrace,320
Woodhaven,183
Woodlawn,28
Woodrow,3
Woodside,562
