Original Entry,Matched Entry,Similarity Score
Kensington,Kensington,100
Kensington,Washington Heights,67
Kensington,West Brighton,61
Kensington,Neponsit,56
Kensington,New Brighton,55
Midtown,Midtown,100
Midtown,Richmondtown,75
Midtown,Fort Hamilton,69
Midtown,Downtown Brooklyn,65
Midtown,Stuyvesant Town,65
Harlem,Harlem,100
Harlem,East Harlem,90
Harlem,Marble Hill,62
Harlem,North Riverdale,60
Harlem,Bronxdale,60
Clinton Hill,Clinton Hill,100
Clinton Hill,Clifton,77
Clinton Hill,Lighthouse Hill,67
Clinton Hill,Todt Hill,67
Clinton Hill,Richmond Hill,64
East Harlem,East Harlem,100
East Harlem,Harlem,90
East Harlem,West Farms,67
East Harlem,East Village,61
East Harlem,East Elmhurst,58
Murray Hill,Murray Hill,100
Murray Hill,Marble Hill,64
Murray Hill,Grymes Hill,64
Murray Hill,Emerson Hill,61
Murray Hill,Todt Hill,58
Bedford-Stuyvesant,Bedford-Stuyvesant,100
Bedford-Stuyvesant,Stuyvesant Town,76
Bedford-Stuyvesant,St. George,57
Bedford-Stuyvesant,Van Nest,53
Bedford-Stuyvesant,Bensonhurst,51
Hell's Kitchen,Hell's Kitchen,100
Hell's Kitchen,Hollis,60
Hell's Kitchen,Richmond Hill,56
Hell's Kitchen,Bull's Head,56
Hell's Kitchen,Chelsea,55
Upper West Side,Upper West Side,100
Upper West Side,Upper East Side,93
Upper West Side,West Farms,86
Upper West Side,Lower East Side,73
Upper West Side,Bayside,65
Chinatown,Chinatown,100
Chinatown,Richmondtown,67
Chinatown,Washington Heights,64
Chinatown,Midtown,62
Chinatown,Clifton,62
South Slope,South Slope,100
South Slope,Mount Hope,67
South Slope,South Beach,64
South Slope,Park Slope,63
South Slope,SoHo,60
Williamsburg,Williamsburg,100
Williamsburg,Williamsbridge,85
Williamsburg,Hollis,60
Williamsburg,Willowbrook,52
Williamsburg,West Village,50
Park Slope,Park Slope,100
Park Slope,Battery Park City,86
Park Slope,South Ozone Park,86
Park Slope,Ozone Park,66
Park Slope,Sunset Park,63
Windsor Terrace,Windsor Terrace,100
Windsor Terrace,"Bay Terrace, Staten Island",86
Windsor Terrace,Bay Terrace,74
Windsor Terrace,New Dorp Beach,55
Windsor Terrace,Inwood,54
Bushwick,Bushwick,100
Bushwick,East Flatbush,60
Bushwick,Flatbush,50
Bushwick,Flushing,50
Bushwick,SoHo,45
Flatbush,Flatbush,100
Flatbush,East Flatbush,90
Flatbush,Flushing,62
Flatbush,Flatiron District,60
Flatbush,SoHo,60
Lower East Side,Lower East Side,100
Lower East Side,Upper East Side,80
Lower East Side,Upper West Side,73
Lower East Side,Bayside,65
Lower East Side,Woodside,60
East Village,East Village,100
East Village,West Village,92
East Village,Queens Village,77
East Village,Greenwich Village,70
East Village,Concourse Village,70
Fort Greene,Fort Greene,100
Fort Greene,Arverne,60
Fort Greene,Prospect-Lefferts Gardens,57
Fort Greene,Mount Eden,57
Fort Greene,Greenwich Village,56
Gowanus,Gowanus,100
Gowanus,Brownsville,55
Gowanus,Howland Hook,55
Gowanus,Washington Heights,54
Gowanus,Stuyvesant Town,54
Greenpoint,Greenpoint,100
Greenpoint,Breezy Point,73
Greenpoint,Greenwich Village,64
Greenpoint,College Point,61
Greenpoint,Nolita,60
West Village,West Village,100
West Village,East Village,92
West Village,Queens Village,77
West Village,Greenwich Village,70
West Village,Concourse Village,70
Flatlands,Flatlands,100
Flatlands,Roosevelt Island,60
Flatlands,Flatbush,59
Flatlands,Flatiron District,55
Flatlands,"Bay Terrace, Staten Island",55
Prospect Heights,Prospect Heights,100
Prospect Heights,Prospect-Lefferts Gardens,86
Prospect Heights,Crown Heights,69
Prospect Heights,Arden Heights,69
Prospect Heights,Morris Heights,67
DUMBO,DUMBO,100
DUMBO,Columbia St,54
DUMBO,Morningside Heights,51
DUMBO,Boerum Hill,51
DUMBO,Mott Haven,51
Upper East Side,Upper East Side,100
Upper East Side,Upper West Side,93
Upper East Side,Lower East Side,80
Upper East Side,Bayside,65
Upper East Side,Woodside,60
Carroll Gardens,Carroll Gardens,100
Carroll Gardens,Prospect-Lefferts Gardens,86
Carroll Gardens,Kew Gardens,74
Carroll Gardens,Pelham Gardens,63
Carroll Gardens,Kew Gardens Hills,60
St. George,St. George,100
St. George,Bedford-Stuyvesant,57
St. George,Upper West Side,53
St. George,East New York,52
St. George,East Morrisania,50
Highbridge,Highbridge,100
Highbridge,Kingsbridge,76
Highbridge,Bay Ridge,63
Highbridge,Williamsbridge,58
Highbridge,Two Bridges,57
Financial District,Financial District,100
Financial District,Flatiron District,69
Financial District,Theater District,63
Financial District,Tribeca,60
Financial District,Astoria,55
Ridgewood,Ridgewood,100
Ridgewood,Midwood,75
Ridgewood,Inwood,72
Ridgewood,Briarwood,67
Ridgewood,Two Bridges,66
Morningside Heights,Morningside Heights,100
Morningside Heights,Morris Heights,79
Morningside Heights,Arden Heights,69
Morningside Heights,Kingsbridge,67
Morningside Heights,Crown Heights,66
Ditmars Steinway,Ditmars Steinway,100
Ditmars Steinway,Astoria,51
Ditmars Steinway,Maspeth,51
Ditmars Steinway,Edenwald,51
Ditmars Steinway,West Farms,51
Cobble Hill,Cobble Hill,100
Cobble Hill,Marble Hill,73
Cobble Hill,Castle Hill,73
Cobble Hill,Boerum Hill,64
Cobble Hill,Clinton Hill,61
Flatiron District,Flatiron District,100
Flatiron District,Theater District,73
Flatiron District,Financial District,69
Flatiron District,Flatbush,60
Flatiron District,Tribeca,60
Roosevelt Island,Roosevelt Island,100
Roosevelt Island,"Bay Terrace, Staten Island",86
Roosevelt Island,City Island,67
Roosevelt Island,Coney Island,64
Roosevelt Island,Flatlands,60
SoHo,SoHo,100
SoHo,Shore Acres,77
SoHo,NoHo,75
SoHo,Bensonhurst,68
SoHo,Holliswood,68
Greenwich Village,Greenwich Village,100
Greenwich Village,Queens Village,71
Greenwich Village,East Village,70
Greenwich Village,West Village,70
Greenwich Village,Claremont Village,65
Chelsea,Chelsea,100
Chelsea,"Chelsea, Staten Island",90
Chelsea,Parkchester,64
Chelsea,Eastchester,64
Chelsea,Westchester Square,64
Little Italy,Little Italy,100
Little Italy,Little Neck,67
Little Italy,Nolita,60
Little Italy,Clifton,54
Little Italy,Castle Hill,52
Inwood,Inwood,100
Inwood,Midwood,77
Inwood,Norwood,77
Inwood,Holliswood,75
Inwood,Ridgewood,72
Washington Heights,Washington Heights,100
Washington Heights,Jackson Heights,73
Washington Heights,Kensington,67
Washington Heights,Crown Heights,66
Washington Heights,Dyker Heights,66
Kingsbridge,Kingsbridge,100
Kingsbridge,Highbridge,76
Kingsbridge,Morningside Heights,67
Kingsbridge,Williamsbridge,64
Kingsbridge,Bay Ridge,60
Astoria,Astoria,100
Astoria,East Morrisania,64
Astoria,Tribeca,57
Astoria,Financial District,55
Astoria,Flatiron District,55
Boerum Hill,Boerum Hill,100
Boerum Hill,Cobble Hill,64
Boerum Hill,Marble Hill,64
Boerum Hill,Grymes Hill,64
Boerum Hill,Emerson Hill,61
Rockaway Beach,Rockaway Beach,100
Rockaway Beach,Far Rockaway,76
Rockaway Beach,Howard Beach,69
Rockaway Beach,Bath Beach,63
Rockaway Beach,South Beach,59
Crown Heights,Crown Heights,100
Crown Heights,Jackson Heights,79
Crown Heights,Arden Heights,77
Crown Heights,Brooklyn Heights,76
Crown Heights,Cambria Heights,71
Brooklyn Heights,Brooklyn Heights,100
Brooklyn Heights,Crown Heights,76
Brooklyn Heights,Arden Heights,69
Brooklyn Heights,Dyker Heights,66
Brooklyn Heights,Jackson Heights,65
Nolita,Nolita,100
Nolita,Greenpoint,60
Nolita,Little Italy,60
Nolita,NoHo,60
Nolita,East Morrisania,60
Woodlawn,Woodlawn,100
Woodlawn,Woodhaven,71
Woodlawn,Woodrow,67
Woodlawn,Inwood,57
Woodlawn,Midwood,53
Sunnyside,Sunnyside,100
Sunnyside,Bayside,62
Sunnyside,Morningside Heights,60
Sunnyside,Upper West Side,56
Sunnyside,Lower East Side,56
Gramercy,Gramercy,100
Gramercy,Grant City,56
Gramercy,Edgemere,50
Gramercy,Greenwich Village,49
Gramercy,Graniteville,49
East New York,East New York,100
East New York,New Dorp,86
East New York,New Dorp Beach,63
East New York,Van Nest,61
East New York,South Ozone Park,55
Prospect-Lefferts Gardens,Prospect-Lefferts Gardens,100
Prospect-Lefferts Gardens,Prospect Heights,86
Prospect-Lefferts Gardens,Carroll Gardens,86
Prospect-Lefferts Gardens,Kew Gardens,86
Prospect-Lefferts Gardens,Pelham Gardens,86
Concourse Village,Concourse Village,100
Concourse Village,Concourse,90
Concourse Village,Concord,77
Concourse Village,East Village,70
Concourse Village,West Village,70
Sheepshead Bay,Sheepshead Bay,100
Sheepshead Bay,Kips Bay,86
Sheepshead Bay,Bay Ridge,86
Sheepshead Bay,"Bay Terrace, Staten Island",86
Sheepshead Bay,Bayside,61
Theater District,Theater District,100
Theater District,Flatiron District,73
Theater District,Financial District,63
Theater District,Tribeca,60
Theater District,Eastchester,56
Emerson Hill,Emerson Hill,100
Emerson Hill,Grymes Hill,70
Emerson Hill,Richmond Hill,64
Emerson Hill,Murray Hill,61
Emerson Hill,Boerum Hill,61
Long Island City,Long Island City,100
Long Island City,City Island,95
Long Island City,Co-op City,86
Long Island City,Grant City,86
Long Island City,"Bay Terrace, Staten Island",86
Fort Hamilton,Fort Hamilton,100
Fort Hamilton,Midtown,69
Fort Hamilton,Clifton,65
Fort Hamilton,Fordham,64
Fort Hamilton,Forest Hills,64
Bensonhurst,Bensonhurst,100
Bensonhurst,SoHo,68
Bensonhurst,Elmhurst,63
Bensonhurst,East Elmhurst,58
Bensonhurst,Belmont,56
Sunset Park,Sunset Park,100
Sunset Park,Battery Park City,86
Sunset Park,Ozone Park,67
Sunset Park,South Ozone Park,67
Sunset Park,Park Slope,63
Concourse,Concourse,100
Concourse,Concourse Village,90
Concourse,Concord,75
Concourse,Corona,60
Concourse,Castleton Corners,60
Kips Bay,Kips Bay,100
Kips Bay,Sheepshead Bay,86
Kips Bay,Prince's Bay,86
