neighbourhood,count
Bedford-Stuyvesant,7739
Williamsburg,7554
Harlem,5293
Bushwick,4845
Hell's Kitchen,3885
Upper West Side,3773
Upper East Side,3585
East Village,3376
Midtown,3303
Crown Heights,3179
East Harlem,2254
Chelsea,2196
Greenpoint,2079
Lower East Side,1881
Astoria,1824
Washington Heights,1739
Financial District,1457
West Village,1448
Flatbush,1258
East Flatbush,1178
Prospect-Lefferts Gardens,1133
Long Island City,1113
Clinton Hill,1106
Park Slope,979
Flushing,966
Murray Hill,943
Fort Greene,921
Kips Bay,892
Ridgewood,887
Sunset Park,839
Sunnyside,771
Chinatown,769
Greenwich Village,723
Prospect Heights,682
Gramercy,678
Ditmars Steinway,676
SoHo,669
Morningside Heights,615
Jamaica,600
East New York,594
Woodside,562
Theater District,559
South Slope,558
Inwood,533
Elmhurst,518
Nolita,509
Gowanus,487
East Elmhurst,476
Carroll Gardens,467
Jackson Heights,437
Canarsie,396
Kensington,363
Sheepshead Bay,359
Boerum Hill,348
Tribeca,338
Cypress Hills,327
Windsor Terrace,320
Brooklyn Heights,299
Forest Hills,297
Bay Ridge,292
Little Italy,273
Borough Park,262
Maspeth,250
Springfield Gardens,244
Rego Park,230
Midwood,228
Arverne,217
Flatlands,214
Richmond Hill,214
St. Albans,212
Cobble Hill,195
Woodhaven,183
Rockaway Beach,183
Red Hook,176
Downtown Brooklyn,174
Brighton Beach,167
Rosedale,165
Kingsbridge,161
Corona,158
Flatiron District,155
Bensonhurst,155
Roosevelt Island,155
Wakefield,154
Brownsville,150
Ozone Park,147
Fordham,147
Queens Village,144
Mott Haven,143
Glendale,135
Gravesend,135
NoHo,133
Longwood,131
Two Bridges,128
South Ozone Park,127
St. George,123
Concourse,121
Bayside,120
Briarwood,119
Fort Hamilton,119
Battery Park City,116
Civic Center,105
Tompkinsville,105
Port Morris,99
Parkchester,97
Fresh Meadows,96
Williamsbridge,93
Allerton,92
Columbia St,87
Kew Gardens,83
Stuyvesant Town,80
Far Rockaway,77
Cambria Heights,75
Norwood,75
Concourse Village,74
Pelham Gardens,72
DUMBO,70
Vinegar Hill,70
Highbridge,67
Middle Village,65
Kew Gardens Hills,65
Laurelton,64
Stapleton,63
Concord,59
Claremont Village,57
West Brighton,57
Throgs Neck,56
University Heights,54
Mount Hope,54
Hunts Point,51
Coney Island,50
Howard Beach,50
Arrochar,49
College Point,48
Clason Point,48
Jamaica Estates,48
Schuylerville,47
Bath Beach,46
Morris Heights,46
Bronxdale,45
Morris Park,45
Randall Manor,44
Belmont,44
Hollis,43
Pelham Bay,41
Morrisania,41
City Island,41
Clifton,39
Bayswater,38
Soundview,33
Edenwald,33
Edgemere,31
Navy Yard,31
Belle Harbor,30
Bergen Beach,30
Tremont,29
Eastchester,28
Woodlawn,28
Baychester,27
North Riverdale,27
Marble Hill,26
Whitestone,26
Bellerose,26
Fieldston,25
Van Nest,25
Mariners Harbor,25
Dyker Heights,25
Great Kills,24
Port Richmond,24
Westchester Square,23
Melrose,23
Olinville,22
Grant City,22
Manhattan Beach,22
Douglaston,21
Jamaica Hills,21
Unionport,21
East Morrisania,20
Shore Acres,20
Sea Gate,20
Riverdale,19
Mount Eden,18
New Springville,18
Midland Beach,17
Grymes Hill,16
South Beach,16
Castle Hill,16
New Brighton,15
Mill Basin,14
Rosebank,14
Oakwood,14
Tottenville,13
Castleton Corners,13
Dongan Hills,13
Bull's Head,12
New Dorp Beach,11
Emerson Hill,10
Huguenot,9
Silver Lake,9
Breezy Point,9
Holliswood,9
Arden Heights,9
Bay Terrace,8
Prince's Bay,8
Spuyten Duyvil,8
Little Neck,8
Graniteville,7
Neponsit,7
Todt Hill,7
West Farms,6
Howland Hook,6
Eltingville,6
Westerleigh,5
Co-op City,5
Richmondtown,5
"Bay Terrace, Staten Island",4
New Dorp,4
Willowbrook,3
Gerritsen Beach,3
Woodrow,3
Rossville,3
Lighthouse Hill,3
Fort Wadsworth,2
Glen Oaks,2
"Chelsea, Staten Island",1
